port_name,country,city,latitude,longitude,port_type,status
Port of Singapore,Singapore,Singapore,1.2644,103.84,Seaport,Active
Port of Shanghai,China,Shanghai,31.2304,121.4737,Seaport,Active
Port of Ningbo-Zhoushan,China,Ningbo,29.8683,121.544,Seaport,Active
Port of Shenzhen,China,Shenzhen,22.5431,114.0579,Seaport,Active
Port of Guangzhou,China,Guangzhou,23.1291,113.2644,Seaport,Active
Port of Busan,South Korea,Busan,35.1028,129.0403,Seaport,Active
Port of Hong Kong,Hong Kong,Hong Kong,22.308,114.225,Seaport,Active
Port of Kaohsiung,Taiwan,Kaohsiung,22.6163,120.3,Seaport,Active
Port of Tokyo,Japan,Tokyo,35.657,139.7966,Seaport,Active
Port of Yokohama,Japan,Yokohama,35.454,139.638,Seaport,Active
Port Klang,Malaysia,Klang,3.0,101.4,Seaport,Active
Port of Tanjung Pelepas,Malaysia,Johor,1.363,103.538,Seaport,Active
Port of Tanjung Priok,Indonesia,Jakarta,-6.1044,106.8867,Seaport,Active
Port of Surabaya,Indonesia,Surabaya,-7.205,112.734,Seaport,Active
Port of Belawan,Indonesia,Medan,3.785,98.683,Seaport,Active
Port of Makassar,Indonesia,Makassar,-5.1331,119.4136,Seaport,Active
Port of Laem Chabang,Thailand,Chonburi,13.0827,100.883,Seaport,Active
Port of Hai Phong,Vietnam,Hai Phong,20.8449,106.6881,Seaport,Active
Port of Manila,Philippines,Manila,14.5995,120.9842,Seaport,Active
Port of Colombo,Sri Lanka,Colombo,6.9497,79.8428,Seaport,Active
Port of Jebel Ali,United Arab Emirates,Dubai,25.0113,55.0617,Seaport,Active
Port of Rotterdam,Netherlands,Rotterdam,51.955,4.142,Seaport,Active
Port of Antwerp,Belgium,Antwerp,51.2637,4.4003,Seaport,Active
Port of Hamburg,Germany,Hamburg,53.5461,9.9661,Seaport,Active
Port of Valencia,Spain,Valencia,39.448,-0.316,Seaport,Active
Port of Genoa,Italy,Genoa,44.4048,8.9463,Seaport,Active
Port of Felixstowe,United Kingdom,Felixstowe,51.954,1.351,Seaport,Active
Port of Los Angeles,United States,Los Angeles,33.7361,-118.263,Seaport,Active
Port of Long Beach,United States,Long Beach,33.7542,-118.2167,Seaport,Active
Port of New York,United States,New York,40.684,-74.006,Seaport,Active
Port of Savannah,United States,Savannah,32.0809,-81.0912,Seaport,Active
Port of Vancouver,Canada,Vancouver,49.2827,-123.1207,Seaport,Active
